net,length_um
net7,38.39
clk,38.32
net4,37.16
net6,35.84
net2,34.88
net1,33.06
net3,24.12
clknet_0_clk,22.5
net9,18.94
net8,17.06
app_idle,15.6
_01_,14.68
wakeup_event,14.51
clk_gate_en,12.62
net5,12.08
clknet_1_0__leaf_clk,11.36
thermal_alert,10.08
current_state[0],8.96
_05_,8.44
reset_n,8.01
_07_,7.66
pwr_gate_en,7.58
current_state[1],5.63
_02_,4.42
isolation_en,4.39
_00_,3.54
_03_,3.08
clknet_1_1__leaf_clk,3.08
_06_,3.06
_04_,2.18
